lat,lng,value
41,31,0.011
18,94,0.004
36,121,0.194
17,37,0.003
32,121,0.281
-7,27,0.004
27,-97,0.014
45,-77,0.002
42,83,0.004
41,-80,0.029
21,-71,0
52,93,0
-26,153,0.002
51,22,0.032
27,16,0.002
55,10,0.019
51,7,0.192
32,-113,0.001
31,132,0.023
46,2,0.01
42,-123,0.004
-29,115,0.001
-5,16,0.196
-6,121,0.025
66,14,0.001
42,24,0.057
18,34,0.002
6,11,0.037
33,8,0.005
5,117,0.024
-15,-44,0.003
22,102,0.015
37,-4,0.029
52,41,0.009
13,34,0.032
-10,-37,0.017
24,119,0.156
56,85,0.021
33,-90,0.006
47,35,0.02
44,19,0.025
20,41,0.015
15,146,0.002
44,-94,0.005
62,18,0.003
23,110,0.11
20,-104,0.008
38,28,0.066
35,102,0.005
15,35,0.005
14,-2,0.007
10,9,0.037
47,85,0.001
-9,122,0.015
-33,-59,0.003
61,50,0.001
-18,179,0.007
49,120,0.005
48,-67,0.002
-13,-77,0.086
-19,-43,0.005
53,12,0.018
49,5,0.021
48,20,0.022
44,79,0.004
38,101,0.015
35,-95,0.008
16,-3,0.01
12,0,0.028
29,-89,0.004
-3,12,0.002
62,78,0.002
59,48,0.001
40,22,0.012
11,124,0.02
-32,24,0.001
40,-91,0.005
39,126,0.145
16,-93,0.03
50,15,0.076
27,112,0.203
7,45,0.004
41,93,0.001
-50,-74,0
39,143,0
51,103,0.001
30,-3,0.001
-33,-70,0.009
7,-66,0.003
-17,-56,0.001
-6,25,0.006
30,112,0.127
-37,-73,0.016
8,124,0.047
45,2,0.018
-35,152,0.006
17,1,0.001
32,77,0.033
-26,-57,0.08
8,11,0.013
41,-100,0.001
51,34,0.015
32,4,0.002
27,44,0.002
4,21,0.005
21,94,0.004
-1,118,0.027
-39,-73,0.002
46,30,0.029
43,128,0.019
-4,143,0.002
22,40,0.014
19,34,0.001
-2,26,0.002
-10,149,0.002
42,-4,0.004
57,94,0.001
37,31,0.019
-2,137,0.004
10,105,0.047
-10,40,0.006
-9,28,0.004
-4,116,0.011
-34,26,0.036
56,74,0.001
37,-112,0.001
52,69,0.002
13,6,0.056
9,7,0.024
-10,-73,0
24,27,0
-14,-58,0
23,-80,0.001
